Date,Open,High,Low,Close,Volume
2021-09-23,4411.6899,4416.6401,4382.7100,4411.6899,0
2021-09-24,4377.1899,4414.6602,4355.8901,4377.1899,0
2021-09-27,4351.7100,4400.6099,4347.5098,4351.7100,0
2021-09-28,4323.3398,4351.7100,4306.8799,4323.3398,0
2021-09-29,4335.2002,4361.6802,4318.7598,4335.2002,0
2021-09-30,4362.5898,4369.8999,4335.2002,4362.5898,0
2021-10-01,4326.7202,4373.5000,4314.4399,4326.7202,0
2021-10-04,4242.6201,4330.3799,4241.6499,4242.6201,0
2021-10-05,4226.0801,4277.9199,4211.2100,4226.0801,0
2021-10-06,4132.2998,4232.2002,4101.3501,4132.2998,0
2021-10-07,4129.6802,4225.8198,4124.5298,4129.6802,0
2021-10-08,4145.6201,4168.8198,4129.6802,4145.6201,0
2021-10-12,4103.1201,4196.3799,4098.9399,4103.1201,0
2021-10-13,4006.4900,4103.9199,3971.6499,4006.4900,0
2021-10-14,3996.4800,4034.6101,3980.4500,3996.4800,0
2021-10-15,3982.1799,4048.1399,3961.0100,3982.1799,0
2021-10-18,4008.7400,4075.8201,3959.3701,4008.7400,0
2021-10-19,3994.9099,4035.8000,3994.2200,3994.9099,0
2021-10-20,4037.4900,4062.2400,3975.6399,4037.4900,0
2021-10-21,4053.3999,4074.8701,4031.6799,4053.3999,0
2021-10-22,4084.3501,4099.9702,4052.3701,4084.3501,0
2021-10-25,4175.9502,4176.2202,4084.3501,4175.9502,0
2021-10-26,4245.9102,4269.2500,4175.9502,4245.9102,0
2021-10-27,4115.6602,4260.8901,4115.6602,4115.6602,0
2021-10-28,4096.2402,4121.9800,4073.7600,4096.2402,0
2021-10-29,4092.2000,4122.1802,4068.7700,4092.2000,0
2021-11-02,4207.2002,4214.4199,4092.2000,4207.2002,0
2021-11-03,4309.9302,4310.2598,4205.8101,4309.9302,0
2021-11-04,4473.7998,4473.7998,4309.9302,4473.7998,0
2021-11-05,4388.1899,4509.3301,4387.3599,4388.1899,0
2021-11-08,4363.3301,4434.1201,4357.2402,4363.3301,0
2021-11-09,4470.5200,4472.5298,4338.9902,4470.5200,0
2021-11-10,4489.0400,4489.2402,4430.6299,4489.0400,0
2021-11-11,4519.3799,4519.8599,4463.7100,4519.3799,0
2021-11-12,4485.9702,4532.3599,4485.8301,4485.9702,0
2021-11-15,4382.4600,4488.3901,4372.1899,4382.4600,0
2021-11-16,4304.7998,4384.0400,4295.5498,4304.7998,0
2021-11-17,4293.1802,4325.1401,4258.3301,4293.1802,0
2021-11-18,4281.6602,4350.2798,4254.7598,4281.6602,0
2021-11-19,4358.4800,4373.5400,4251.7700,4358.4800,0
2021-11-22,4780.9102,4819.6099,4358.4800,4780.9102,0
2021-11-23,4697.6602,4780.9102,4662.2100,4697.6602,0
2021-11-24,4629.2402,4703.9502,4605.2900,4629.2402,0
2021-11-25,4601.9102,4644.2998,4563.5400,4601.9102,0
2021-11-26,4579.2998,4601.9102,4487.2900,4579.2998,0
2021-11-29,4505.6201,4591.6699,4449.5801,4505.6201,0
2021-11-30,4432.7100,4505.6201,4348.2002,4432.7100,0
2021-12-01,4332.4502,4448.4399,4332.4502,4332.4502,0
2021-12-02,4370.8999,4379.0400,4327.6899,4370.8999,0
2021-12-03,4369.3999,4441.2900,4365.6201,4369.3999,0
2021-12-06,4368.8198,4416.1699,4355.3901,4368.8198,0
2021-12-07,4395.1499,4426.6001,4368.8198,4395.1499,0
2021-12-09,4418.7900,4449.1401,4392.1001,4418.7900,0
2021-12-10,4405.7202,4422.3999,4379.7598,4405.7202,0
2021-12-13,4301.2500,4408.2998,4286.2402,4301.2500,0
2021-12-14,4179.5601,4301.2500,4151.0400,4179.5601,0
2021-12-15,4271.3999,4280.4102,4138.0400,4271.3999,0
2021-12-16,4392.3398,4392.3398,4271.3999,4392.3398,0
2021-12-17,4357.7798,4392.3398,4286.6001,4357.7798,0
2021-12-20,4088.2600,4357.7798,4040.1101,4088.2600,0
2021-12-21,4142.4902,4201.4502,4088.2600,4142.4902,0
2021-12-22,4121.9102,4178.0298,4117.9199,4121.9102,0
2021-12-23,4241.6299,4241.6299,4121.9102,4241.6299,0
2021-12-24,4299.0898,4306.8901,4241.6299,4299.0898,0
2021-12-27,4281.8901,4336.5400,4257.6802,4281.8901,0
2021-12-28,4269.3701,4330.6499,4269.3701,4269.3701,0
2021-12-29,4250.2900,4284.7998,4248.3599,4250.2900,0
2021-12-30,4308.3799,4310.6802,4243.8999,4308.3799,0
2022-01-03,4301.3198,4352.5801,4295.6699,4301.3198,0
2022-01-04,4294.6401,4332.6899,4248.3501,4294.6401,0
2022-01-05,4317.6001,4318.7500,4282.6201,4317.6001,0
2022-01-06,4348.4399,4351.9399,4287.8799,4348.4399,0
2022-01-07,4296.3501,4360.7700,4276.0000,4296.3501,0
2022-01-10,4298.2402,4301.9902,4272.1499,4298.2402,0
2022-01-11,4394.9102,4394.9102,4298.2402,4394.9102,0
2022-01-12,4507.8198,4507.8198,4394.9102,4507.8198,0
2022-01-13,4512.4302,4554.3101,4484.7998,4512.4302,0
2022-01-14,4486.5698,4517.7998,4460.9102,4486.5698,0
2022-01-17,4473.2700,4490.5200,4458.4702,4473.2700,0
2022-01-18,4500.7998,4505.8901,4451.7202,4500.7998,0
2022-01-19,4470.7100,4538.1001,4469.3999,4470.7100,0
2022-01-20,4486.7202,4503.3301,4466.8301,4486.7202,0
2022-01-21,4644.8599,4671.4199,4486.7202,4644.8599,0
2022-01-24,4503.1699,4649.0400,4464.0298,4503.1699,0
2022-01-25,4529.2998,4546.7402,4487.3599,4529.2998,0
2022-01-26,4552.3301,4594.8301,4529.2998,4552.3301,0
